,match_id,innings,ball,striker,runs_off_bat
150460,1175356,1,0.1,V Kohli,1
150461,1175356,1,0.2,PA Patel,0
150462,1175356,1,0.3,PA Patel,0
150463,1175356,1,0.4,PA Patel,0
150464,1175356,1,0.5,PA Patel,4
150465,1175356,1,0.6,PA Patel,0
150466,1175356,1,1.1,V Kohli,1
150467,1175356,1,1.2,PA Patel,1
150468,1175356,1,1.3,V Kohli,1
150469,1175356,1,1.4,PA Patel,2
150470,1175356,1,1.5,PA Patel,0
150471,1175356,1,1.6,V Kohli,1
150472,1175356,1,2.1,V Kohli,2
150473,1175356,1,2.2,V Kohli,0
150474,1175356,1,2.3,V Kohli,0
150475,1175356,1,2.4,V Kohli,0
150476,1175356,1,2.5,V Kohli,0
150477,1175356,1,2.6,V Kohli,0
150478,1175356,1,2.7,V Kohli,0
150479,1175356,1,3.1,PA Patel,0
150480,1175356,1,3.2,PA Patel,1
150481,1175356,1,3.3,V Kohli,0
150482,1175356,1,3.4,MM Ali,0
150483,1175356,1,3.5,MM Ali,0
150484,1175356,1,3.6,MM Ali,6
150485,1175356,1,4.1,PA Patel,1
150486,1175356,1,4.2,MM Ali,1
150487,1175356,1,4.3,PA Patel,1
150488,1175356,1,4.4,MM Ali,1
150489,1175356,1,4.5,PA Patel,1
150490,1175356,1,4.6,MM Ali,1
150491,1175356,1,5.1,MM Ali,0
150492,1175356,1,5.2,MM Ali,0
150493,1175356,1,5.3,AB de Villiers,2
150494,1175356,1,5.4,AB de Villiers,2
150495,1175356,1,5.5,AB de Villiers,1
150496,1175356,1,5.6,PA Patel,0
150564,1175356,2,0.1,SR Watson,0
150565,1175356,2,0.2,SR Watson,0
150566,1175356,2,0.3,SR Watson,0
150567,1175356,2,0.4,SR Watson,0
150568,1175356,2,0.5,SR Watson,0
150569,1175356,2,0.6,SR Watson,0
150570,1175356,2,1.1,AT Rayudu,0
150571,1175356,2,1.2,AT Rayudu,1
150572,1175356,2,1.3,SR Watson,0
150573,1175356,2,1.4,SR Watson,0
150574,1175356,2,1.5,SR Watson,0
150575,1175356,2,1.6,AT Rayudu,6
150576,1175356,2,2.1,SR Watson,0
150577,1175356,2,2.2,SK Raina,0
150578,1175356,2,2.3,SK Raina,1
150579,1175356,2,2.4,AT Rayudu,0
150580,1175356,2,2.5,AT Rayudu,1
150581,1175356,2,2.6,SK Raina,0
150582,1175356,2,3.1,AT Rayudu,0
150583,1175356,2,3.2,AT Rayudu,0
150584,1175356,2,3.3,AT Rayudu,0
150585,1175356,2,3.4,AT Rayudu,0
150586,1175356,2,3.5,AT Rayudu,0
150587,1175356,2,3.6,AT Rayudu,1
150588,1175356,2,4.1,AT Rayudu,0
150589,1175356,2,4.2,AT Rayudu,0
150590,1175356,2,4.3,AT Rayudu,1
150591,1175356,2,4.4,SK Raina,1
150592,1175356,2,4.5,AT Rayudu,1
150593,1175356,2,4.6,SK Raina,0
150594,1175356,2,5.1,AT Rayudu,0
150595,1175356,2,5.2,AT Rayudu,0
150596,1175356,2,5.3,AT Rayudu,0
150597,1175356,2,5.4,AT Rayudu,1
150598,1175356,2,5.5,SK Raina,1
150599,1175356,2,5.6,AT Rayudu,0
150674,1175357,1,0.1,DA Warner,0
150676,1175357,1,0.3,DA Warner,2
150678,1175357,1,0.5,DA Warner,0
150679,1175357,1,0.6,DA Warner,1
150680,1175357,1,0.7,JM Bairstow,0
150681,1175357,1,0.8,JM Bairstow,0
150682,1175357,1,0.9,DA Warner,1
150683,1175357,1,1.1,DA Warner,0
150684,1175357,1,1.2,DA Warner,4
150685,1175357,1,1.3,DA Warner,0
150686,1175357,1,1.4,DA Warner,4
150687,1175357,1,1.5,DA Warner,0
150688,1175357,1,1.6,DA Warner,0
150689,1175357,1,2.1,JM Bairstow,1
150690,1175357,1,2.2,DA Warner,3
150691,1175357,1,2.3,JM Bairstow,0
150692,1175357,1,2.4,JM Bairstow,0
150693,1175357,1,2.5,JM Bairstow,1
150694,1175357,1,2.6,DA Warner,4
150695,1175357,1,3.1,JM Bairstow,0
150696,1175357,1,3.2,JM Bairstow,2
150697,1175357,1,3.3,JM Bairstow,6
150698,1175357,1,3.4,JM Bairstow,0
150699,1175357,1,3.5,JM Bairstow,1
150700,1175357,1,3.6,DA Warner,0
150701,1175357,1,4.1,JM Bairstow,0
150702,1175357,1,4.2,JM Bairstow,2
150703,1175357,1,4.3,JM Bairstow,1
150704,1175357,1,4.4,DA Warner,0
150705,1175357,1,4.5,DA Warner,2
150706,1175357,1,4.6,DA Warner,4
150707,1175357,1,5.1,JM Bairstow,1
150708,1175357,1,5.2,DA Warner,1
150709,1175357,1,5.3,JM Bairstow,1
150710,1175357,1,5.4,DA Warner,4
150711,1175357,1,5.5,DA Warner,4
150712,1175357,1,5.6,DA Warner,0
150797,1175357,2,0.1,CA Lynn,0
150798,1175357,2,0.2,CA Lynn,0
150799,1175357,2,0.3,CA Lynn,0
150800,1175357,2,0.4,CA Lynn,0
150801,1175357,2,0.5,CA Lynn,1
150802,1175357,2,0.6,N Rana,0
150803,1175357,2,1.1,CA Lynn,0
150804,1175357,2,1.2,CA Lynn,6
150805,1175357,2,1.3,CA Lynn,0
150806,1175357,2,1.4,CA Lynn,0
150807,1175357,2,1.5,CA Lynn,0
150808,1175357,2,1.6,CA Lynn,0
150809,1175357,2,2.1,N Rana,4
150810,1175357,2,2.2,N Rana,0
150811,1175357,2,2.3,N Rana,0
150812,1175357,2,2.4,N Rana,1
150813,1175357,2,2.5,RV Uthappa,4
150814,1175357,2,2.6,RV Uthappa,0
150815,1175357,2,3.1,N Rana,0
150816,1175357,2,3.2,N Rana,4
150817,1175357,2,3.3,N Rana,6
150818,1175357,2,3.4,N Rana,0
150819,1175357,2,3.5,N Rana,0
150820,1175357,2,3.6,N Rana,4
150821,1175357,2,4.1,RV Uthappa,2
150822,1175357,2,4.2,RV Uthappa,1
150823,1175357,2,4.3,N Rana,1
150824,1175357,2,4.4,RV Uthappa,4
150825,1175357,2,4.5,RV Uthappa,1
150826,1175357,2,4.6,N Rana,1
150827,1175357,2,5.1,N Rana,1
150828,1175357,2,5.2,RV Uthappa,0
150829,1175357,2,5.3,RV Uthappa,0
150830,1175357,2,5.4,RV Uthappa,4
150831,1175357,2,5.5,RV Uthappa,1
150832,1175357,2,5.6,N Rana,1
150918,1175358,1,0.1,PP Shaw,1
150919,1175358,1,0.2,S Dhawan,1
150920,1175358,1,0.3,PP Shaw,1
150921,1175358,1,0.4,S Dhawan,0
150922,1175358,1,0.5,S Dhawan,1
150923,1175358,1,0.6,PP Shaw,1
150924,1175358,1,0.7,S Dhawan,0
150925,1175358,1,1.1,PP Shaw,0
150926,1175358,1,1.2,PP Shaw,4
150927,1175358,1,1.3,PP Shaw,0
150928,1175358,1,1.4,SS Iyer,0
150929,1175358,1,1.5,SS Iyer,1
150930,1175358,1,1.6,S Dhawan,0
150931,1175358,1,2.1,SS Iyer,0
150932,1175358,1,2.2,SS Iyer,0
150933,1175358,1,2.3,SS Iyer,4
150934,1175358,1,2.4,SS Iyer,1
150935,1175358,1,2.5,S Dhawan,0
150936,1175358,1,2.6,S Dhawan,1
150937,1175358,1,2.7,SS Iyer,4
150938,1175358,1,3.1,S Dhawan,1
150939,1175358,1,3.2,SS Iyer,0
150940,1175358,1,3.3,SS Iyer,6
150941,1175358,1,3.4,SS Iyer,0
150942,1175358,1,3.5,CA Ingram,0
150943,1175358,1,3.6,CA Ingram,4
150944,1175358,1,4.1,S Dhawan,1
150945,1175358,1,4.2,CA Ingram,0
150946,1175358,1,4.3,CA Ingram,1
150947,1175358,1,4.4,S Dhawan,0
150948,1175358,1,4.5,S Dhawan,0
150949,1175358,1,4.6,S Dhawan,1
150950,1175358,1,5.1,S Dhawan,4
150951,1175358,1,5.2,S Dhawan,1
150952,1175358,1,5.3,CA Ingram,1
150953,1175358,1,5.4,S Dhawan,1
150954,1175358,1,5.5,CA Ingram,1
150955,1175358,1,5.6,S Dhawan,1
151042,1175358,2,0.1,RG Sharma,1
151043,1175358,2,0.2,Q de Kock,1
151044,1175358,2,0.3,RG Sharma,0
151045,1175358,2,0.4,RG Sharma,0
151046,1175358,2,0.5,RG Sharma,2
151047,1175358,2,0.6,RG Sharma,1
151048,1175358,2,1.1,RG Sharma,0
151049,1175358,2,1.2,RG Sharma,1
151050,1175358,2,1.3,Q de Kock,1
151051,1175358,2,1.4,RG Sharma,0
151052,1175358,2,1.5,RG Sharma,4
151053,1175358,2,1.6,RG Sharma,0
151054,1175358,2,2.1,Q de Kock,1
151055,1175358,2,2.2,RG Sharma,1
151056,1175358,2,2.3,Q de Kock,4
151057,1175358,2,2.4,Q de Kock,6
151058,1175358,2,2.5,Q de Kock,4
151059,1175358,2,2.6,Q de Kock,1
151060,1175358,2,3.1,Q de Kock,0
151061,1175358,2,3.2,RG Sharma,4
151062,1175358,2,3.3,RG Sharma,0
151063,1175358,2,3.4,SA Yadav,0
151064,1175358,2,3.5,SA Yadav,0
151065,1175358,2,3.6,SA Yadav,0
151066,1175358,2,4.1,Q de Kock,0
151067,1175358,2,4.2,Q de Kock,0
151068,1175358,2,4.3,SA Yadav,1
151069,1175358,2,4.4,Q de Kock,1
151070,1175358,2,4.5,SA Yadav,1
151071,1175358,2,4.6,Q de Kock,0
151072,1175358,2,5.1,SA Yadav,0
151073,1175358,2,5.2,Q de Kock,4
151074,1175358,2,5.3,Q de Kock,4
151075,1175358,2,5.4,Q de Kock,0
151076,1175358,2,5.5,Q de Kock,0
151077,1175358,2,5.6,KA Pollard,1
