,Unnamed: 0,batsmen,balls_faced,runs,strikeRate,Rating
0,0,S Ganguly,519,529,101.92678227360308,7.5
1,1,B McCullum,1233,1557,126.27737226277371,8.25
2,2,R Ponting,75,45,60.0,7.75
3,3,R Dravid,836,905,108.2535885167464,7.5
4,4,W Jaffer,89,77,86.51685393258427,7.75
5,5,V Kohli,1522,1754,115.2431011826544,8.0
6,6,J Kallis,985,1036,105.17766497461929,7.5
7,7,C White,116,107,92.24137931034483,7.5
8,8,M Boucher,24,22,91.66666666666666,7.75
9,9,P Patel,1569,1904,121.35117909496496,8.25
10,10,M Hayden,463,599,129.37365010799135,8.25
11,11,M Hussey,768,828,107.8125,7.5
12,12,K Goel,161,160,99.37888198757764,7.5
13,13,J Hopes,134,167,124.62686567164178,8.25
14,14,T Kohli,12,7,58.333333333333336,7.75
15,15,Y Pathan,246,361,146.7479674796748,8.75
16,16,S Watson,1264,1421,112.42088607594938,8.0
17,17,M Kaif,38,22,57.89473684210527,7.75
18,18,G Gambhir,1878,2277,121.24600638977637,8.25
19,19,V Sehwag,1109,1593,143.6429215509468,8.75
20,20,S Dhawan,2172,2668,122.83609576427257,8.25
21,21,A Gilchrist,1035,1385,133.81642512077295,8.5
22,22,Y Rao,98,76,77.55102040816327,7.75
23,23,V Laxman,188,187,99.46808510638297,7.5
24,24,A Symonds,82,72,87.8048780487805,7.75
25,25,W Saha,494,683,138.25910931174087,8.5
26,26,D Hussey,115,134,116.52173913043478,8.0
27,27,L Ronchi,34,34,100.0,7.75
28,28,S Jayasuriya,369,514,139.29539295392954,8.5
29,29,D Thornely,20,4,20.0,7.75
30,30,R Uthappa,1491,1850,124.07780013413816,8.25
31,31,P Shah,31,30,96.7741935483871,7.75
32,32,S Chanderpaul,31,25,80.64516129032258,7.75
33,33,L Taylor,121,155,128.099173553719,8.25
34,34,K Sangakkara,451,522,115.74279379157429,8.0
35,35,K Akmal,41,51,124.39024390243902,8.0
36,36,D Lehmann,3,4,133.33333333333331,8.0
37,37,S Raina,1168,1556,133.2191780821918,8.5
38,38,S Pollock,6,1,16.666666666666664,7.75
39,39,S Afridi,18,43,238.88888888888889,8.25
