,batsmen,balls_faced,runs,strikeRate,Rating
0,V Kohli,437,592,135.4691075514874,8.5
1,P Patel,260,383,147.30769230769232,8.75
2,M Ali,42,38,90.47619047619048,7.75
3,A Villiers,159,213,133.96226415094338,8.5
4,S Watson,560,614,109.64285714285715,7.5
5,A Rayudu,268,329,122.76119402985076,8.25
6,S Raina,217,276,127.18894009216591,8.25
7,D Warner,453,607,133.99558498896246,8.5
8,J Bairstow,288,378,131.25,8.5
9,C Lynn,418,566,135.4066985645933,8.5
10,N Rana,244,284,116.39344262295081,8.0
11,R Uthappa,279,344,123.29749103942653,8.25
12,P Shaw,434,595,137.09677419354838,8.5
13,S Dhawan,634,876,138.17034700315457,8.5
14,S Iyer,336,393,116.96428571428572,8.0
15,C Ingram,6,7,116.66666666666667,8.0
16,R Sharma,413,494,119.61259079903148,8.0
17,Q Kock,569,761,133.74340949033393,8.5
18,S Yadav,381,549,144.09448818897638,8.75
19,K Pollard,20,28,140.0,8.25
20,K Rahul,674,906,134.4213649851632,8.5
21,M Agarwal,268,344,128.3582089552239,8.25
22,C Gayle,384,559,145.57291666666669,8.75
23,A Rahane,425,532,125.17647058823529,8.25
24,J Buttler,333,525,157.65765765765767,9.0
25,S Narine,243,428,176.13168724279836,9.5
26,S Khan,28,36,128.57142857142858,8.0
27,S Samson,218,286,131.1926605504587,8.5
28,N Naik,16,7,43.75,7.75
29,R Pant,133,150,112.78195488721805,8.0
30,A Russell,3,4,133.33333333333331,8.0
31,K Karthik,57,42,73.68421052631578,7.75
32,S Hetmyer,51,53,103.921568627451,7.75
33,K Jadhav,37,32,86.48648648648648,7.75
34,M Dhoni,31,22,70.96774193548387,7.75
35,R Tripathi,178,230,129.21348314606743,8.25
36,S Smith,134,158,117.91044776119404,8.0
37,S Curran,52,68,130.76923076923077,8.0
38,F Plessis,395,475,120.25316455696202,8.25
39,I Kishan,190,205,107.89473684210526,7.5
40,V Shankar,29,19,65.51724137931035,7.75
41,M Pandey,210,294,140.0,8.75
42,S Gill,328,396,120.73170731707317,8.25
43,S Lad,13,15,115.38461538461537,8.0
44,J Denly,1,0,0.0,7.75
45,C Munro,69,107,155.07246376811594,9.0
46,K Williamson,203,240,118.22660098522168,8.0
47,E Lewis,197,275,139.59390862944164,8.5
48,G Gambhir,68,64,94.11764705882352,7.75
49,Y Singh,16,14,87.5,7.75
50,K Nair,34,26,76.47058823529412,7.75
51,B McCullum,43,55,127.90697674418605,8.0
52,D Short,61,50,81.9672131147541,7.75
53,W Saha,169,240,142.01183431952663,8.75
54,B Stokes,155,212,136.7741935483871,8.5
55,G Maxwell,52,64,123.07692307692308,8.0
56,C Morris,7,17,242.85714285714283,8.25
57,A Finch,193,211,109.32642487046633,7.5
58,J Roy,59,66,111.86440677966101,8.0
59,M Vijay,76,80,105.26315789473684,7.75
60,S Billings,11,12,109.09090909090908,7.75
61,M Singh,39,40,102.56410256410255,7.75
62,Y Pathan,15,19,126.66666666666666,8.0
63,H Klaasen,14,13,92.85714285714286,7.75
64,M Vohra,35,43,122.85714285714286,8.0
65,R Bhui,5,0,0.0,7.75
66,D Hooda,8,2,25.0,7.75
67,S Hasan,23,32,139.1304347826087,8.0
68,K Pandya,3,3,100.0,7.75
69,A Hales,82,114,139.02439024390242,8.5
70,J Duminy,16,13,81.25,7.75
71,K Gowtham,4,8,200.0,8.25
72,R Ashwin,2,0,0.0,7.75
73,A Nath,11,11,100.0,7.75
74,M Stoinis,47,57,121.27659574468086,8.0
75,J Archer,4,0,0.0,7.75
76,S Goswami,35,42,120.0,8.0
77,M Tiwary,11,8,72.72727272727273,7.75
78,D Miller,7,11,157.14285714285714,8.25
79,H Singh,5,5,100.0,7.75
80,L Livingstone,37,57,154.05405405405406,8.25
81,G Singh,10,13,130.0,8.0
82,P Negi,3,4,133.33333333333331,8.0
83,N Saini,1,0,0.0,7.75
84,M Guptill,49,80,163.26530612244898,8.25
85,M Nabi,2,6,300.0,8.25
86,H Pandya,5,9,180.0,8.25
87,N Pooran,25,34,136.0,8.0
88,M Lomror,17,19,111.76470588235294,8.0
89,S Gopal,4,0,0.0,7.75
90,R Parag,11,0,0.0,7.75
91,S Tiwary,4,3,75.0,7.75
92,D Padikkal,210,271,129.04761904761907,8.25
93,Y Jaiswal,28,18,64.28571428571429,7.75
94,J Philippe,55,51,92.72727272727272,7.75
95,P Singh,8,11,137.5,8.0
96,E Morgan,32,27,84.375,7.75
97,N Jagadeesan,3,1,33.33333333333333,7.75
98,T Banton,20,18,90.0,7.75
99,A Samad,2,2,100.0,7.75
100,R Gaikwad,76,71,93.42105263157895,7.75
101,R Jadeja,6,7,116.66666666666667,8.0
102,R Tewatia,4,2,50.0,7.75
103,P Garg,12,17,141.66666666666669,8.25
104,J Holder,4,4,100.0,7.75
105,W Sundar,17,10,58.82352941176471,7.75
106,R Patidar,8,8,100.0,7.75
