,bowler,balls_bowled,runs_conceeded,wickets,Economy,Rating
0,P Kumar,1581,1694,40,6.428842504743834,9.5
1,Z Khan,1296,1402,52,6.4907407407407405,9.5
2,A Noffke,7,22,0,18.857142857142858,8.0
3,A Dinda,813,956,33,7.055350553505535,9.5
4,I Sharma,1222,1407,43,6.908346972176759,9.5
5,A Agarkar,181,272,6,9.01657458563536,7.5
6,B Lee,486,547,11,6.753086419753087,9.5
7,S Sreesanth,576,693,27,7.21875,9.5
8,J Hopes,18,25,1,8.333333333333332,8.0
9,J Oram,108,166,3,9.222222222222221,8.0
10,M Gony,486,694,18,8.567901234567902,8.0
11,G McGrath,222,207,8,5.594594594594595,9.0
12,B Geeves,24,49,0,12.25,8.0
13,M Maharoof,168,204,8,7.285714285714285,9.0
14,M Patel,654,753,29,6.908256880733946,9.5
15,S Watson,834,950,34,6.83453237410072,9.5
16,S Trivedi,126,190,6,9.047619047619047,8.0
17,W Vaas,198,203,15,6.151515151515152,9.0
18,R Singh,1004,1143,35,6.830677290836654,9.5
19,S Styris,42,42,1,6.0,8.0
20,J Kallis,518,617,18,7.146718146718147,9.5
21,A Nehra,1095,1334,40,7.30958904109589,9.5
22,S Pollock,204,205,8,6.029411764705882,9.0
23,D Kulkarni,1009,1231,44,7.3201189296333,9.5
24,M Asif,90,141,3,9.4,8.0
25,Y Pathan,356,383,14,6.45505617977528,9.5
26,P Ojha,240,314,6,7.85,9.0
27,I Pathan,922,1046,28,6.806941431670282,9.5
28,V Singh,78,132,1,10.153846153846153,8.0
29,P Amarnath,6,12,0,12.0,8.0
30,S Tanvir,134,129,6,5.776119402985074,9.0
31,R Kumar,756,893,30,7.087301587301587,9.5
32,D Zoysa,36,44,0,7.333333333333334,8.0
33,S Bangar,18,12,1,4.0,8.0
34,S Afridi,24,26,1,6.5,8.0
35,S Jayasuriya,6,10,0,10.0,8.0
36,S Chitnis,6,11,0,11.0,8.0
37,D Steyn,1144,1152,34,6.0419580419580425,9.5
38,C Fernando,78,83,7,6.384615384615385,9.0
39,D Bravo,216,267,10,7.416666666666667,9.0
40,V Mahesh,79,148,4,11.240506329113924,8.0
41,U Gul,36,35,4,5.833333333333333,8.0
42,P Sangwan,331,467,12,8.46525679758308,8.25
43,M Ntini,156,168,5,6.461538461538462,9.0
44,J Morkel,903,1231,34,8.179401993355482,8.25
45,D Vijaykumar,102,122,3,7.1764705882352935,8.0
46,G Singh,6,7,0,7.0,8.0
47,S Ganguly,18,31,0,10.333333333333334,8.0
48,A Mascarenhas,168,204,12,7.285714285714285,9.0
49,P Chawla,355,436,17,7.369014084507041,9.5
50,S Akhtar,42,50,5,7.142857142857142,9.0
51,P Kumar,6,7,0,7.0,8.0
52,A Mishra,132,159,6,7.2272727272727275,9.0
53,V Sehwag,12,46,0,23.0,8.0
54,Y Rao,42,67,1,9.571428571428573,8.0
55,R Raje,6,8,0,8.0,8.0
56,V Yeligati,6,12,0,12.0,8.0
57,A Kumble,109,88,3,4.844036697247707,8.0
58,R Powar,133,163,3,7.353383458646617,8.0
59,A Nel,6,12,1,12.0,8.0
60,P Singh,150,188,8,7.5200000000000005,9.0
61,B Mendis,58,67,2,6.931034482758621,8.0
62,M Muralitharan,148,154,3,6.243243243243244,8.0
63,K Khan,84,125,5,8.928571428571429,7.25
64,T Thushara,60,54,3,5.4,8.0
65,A Flintoff,12,21,0,10.5,8.0
66,S Malinga,1116,1119,37,6.016129032258064,9.5
67,D Nannes,346,339,15,5.878612716763006,9.5
68,A Salvi,66,76,1,6.90909090909091,8.0
69,Y Abdulla,84,98,7,7.0,9.0
70,V Malik,126,153,4,7.285714285714285,8.0
71,F Edwards,78,54,3,4.153846153846153,8.0
72,H Singh,85,119,6,8.399999999999999,7.25
73,L Balaji,452,504,15,6.6902654867256635,9.5
74,M Henriques,173,244,8,8.46242774566474,8.25
75,A Singh,162,188,7,6.962962962962964,9.0
76,R Bose,12,24,0,12.0,8.0
77,H Singh,751,880,30,7.030625832223701,9.5
78,D Smith,67,121,5,10.835820895522389,8.0
79,S Raina,66,82,2,7.454545454545455,8.0
80,K Pietersen,19,19,1,6.0,8.0
81,R Merwe,36,54,3,9.0,8.0
82,M Kartik,181,207,7,6.861878453038674,9.0
83,C Gayle,123,157,3,7.658536585365853,8.0
84,S Tyagi,168,220,5,7.857142857142858,9.0
85,S Ahmed,18,37,1,12.333333333333332,8.0
86,L Shukla,26,49,0,11.307692307692307,8.0
87,G Napier,6,3,0,3.0,8.0
88,J Ryder,6,7,0,7.0,8.0
89,R Jadeja,132,183,6,8.318181818181818,8.25
90,S Harwood,18,6,1,2.0,8.0
91,D Preez,18,12,3,4.0,8.0
92,A Nayar,6,10,0,10.0,8.0
93,R Harris,427,435,14,6.112412177985949,9.5
94,R Sharma,51,65,2,7.647058823529411,8.0
95,A Singh,265,285,11,6.452830188679245,9.5
96,B Hodge,37,52,0,8.432432432432433,8.0
97,M Morkel,913,1042,36,6.84775465498357,9.5
98,L Carseldine,6,5,1,5.0,8.0
99,S Sarkar,6,15,0,15.0,8.0
100,A Mithun,66,100,1,9.09090909090909,8.0
101,A Symonds,115,103,4,5.373913043478261,8.0
102,A Mathews,126,180,6,8.571428571428571,8.25
103,D Hussey,36,56,0,9.333333333333334,8.0
104,J Duminy,162,195,3,7.222222222222222,8.75
105,S Warne,36,57,1,9.5,8.0
106,M Mortaza,12,25,0,12.5,8.0
107,B Akhil,6,12,0,12.0,8.0
108,C Langeveldt,84,91,6,6.5,9.0
109,R Ashwin,923,967,40,6.286023835319611,9.5
110,R Shaikh,6,11,0,11.0,8.0
111,T Dilshan,42,60,0,8.571428571428571,8.0
112,S Jakati,96,137,0,8.5625,8.0
113,J Singh,42,49,2,7.0,8.0
114,S Tait,233,265,7,6.824034334763949,9.0
115,A Uniyal,12,21,1,10.5,8.0
116,R McLaren,150,204,4,8.16,8.25
117,A Murtaza,78,51,2,3.9230769230769234,8.0
118,S Bond,90,92,4,6.133333333333333,8.0
