venue,innings,batting_team,bowling_team,runs_6overs,wickets,avg_rating_bats,avg_rating_bowls
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,33,37,8.375,8.875
MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,16,36,8.0,8.666666666666666
Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,54,39,8.5,8.5
Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,47,36,8.25,8.875
Wankhede Stadium,1,Delhi Capitals,Mumbai Indians,45,38,8.25,8.625
Wankhede Stadium,2,Mumbai Indians,Delhi Capitals,46,36,8.375,9.166666666666666
Sawai Mansingh Stadium,1,Punjab Kings,Rajasthan Royals,32,39,8.5,8.6875
Sawai Mansingh Stadium,2,Rajasthan Royals,Punjab Kings,64,36,8.625,8.833333333333334
Arun Jaitley Stadium,1,Delhi Capitals,Chennai Super Kings,43,38,8.333333333333334,8.583333333333334
Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Capitals,58,36,8.0,9.0
Eden Gardens,1,Kolkata Knight Riders,Punjab Kings,53,37,8.5625,8.6
Eden Gardens,2,Punjab Kings,Kolkata Knight Riders,51,38,8.375,8.0
M Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,52,36,8.25,9.166666666666666
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,60,36,8.333333333333334,8.7
Rajiv Gandhi International Stadium,1,Rajasthan Royals,Sunrisers Hyderabad,35,37,8.583333333333334,8.625
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Rajasthan Royals,69,37,8.5,8.6875
Punjab Cricket Association IS Bindra Stadium,1,Mumbai Indians,Punjab Kings,62,36,8.416666666666666,8.75
Punjab Cricket Association IS Bindra Stadium,2,Punjab Kings,Mumbai Indians,38,36,8.625,8.833333333333334
Arun Jaitley Stadium,1,Kolkata Knight Riders,Delhi Capitals,36,37,8.166666666666666,8.3125
Arun Jaitley Stadium,2,Delhi Capitals,Kolkata Knight Riders,45,37,8.333333333333334,8.25
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,59,36,8.5,8.875
Rajiv Gandhi International Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,30,36,8.25,9.166666666666666
MA Chidambaram Stadium,1,Chennai Super Kings,Rajasthan Royals,29,36,7.9,8.583333333333334
MA Chidambaram Stadium,2,Rajasthan Royals,Chennai Super Kings,45,39,8.4,8.5
Punjab Cricket Association IS Bindra Stadium,1,Punjab Kings,Delhi Capitals,54,36,8.1875,8.3125
Punjab Cricket Association IS Bindra Stadium,2,Delhi Capitals,Punjab Kings,49,39,8.333333333333334,8.625
Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,48,37,8.625,8.916666666666666
Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,55,37,8.625,9.166666666666666
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,40,37,8.416666666666666,8.583333333333334
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,34,38,7.9,8.0
Arun Jaitley Stadium,1,Delhi Capitals,Sunrisers Hyderabad,36,36,8.333333333333334,8.666666666666666
Arun Jaitley Stadium,2,Sunrisers Hyderabad,Delhi Capitals,62,37,8.5,8.5625
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,53,36,8.625,8.5
M Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,59,38,8.75,8.666666666666666
